latitude_deg,longitude_deg,gps_code,iata_code
40.07080078125,-74.9336013793945,00A,
38.704022,-101.473911,00AA,
59.94919968,-151.695999146,00AK,
34.8647994995117,-86.7703018188477,00AL,
35.6087,-91.254898,,
34.9428028,-97.8180194,00AS,
34.3055992126465,-112.165000915527,00AZ,
35.35474,-116.885329,00CA,
39.427188,-121.763427,00CL,
32.7273736,-116.4597417,00CN,
40.622202,-104.344002,,
28.6455001831055,-82.2190017700195,00FA,
28.8465995788574,-82.3453979492188,00FD,
27.230899810791,-80.9692001342773,00FL,
33.7675018310547,-84.0682983398438,00GA,
33.889245,-84.73793,00GE,
19.832715,-155.980233,00HI,
48.1453018188477,-116.213996887207,00ID,
39.724028,-101.395994,00IG,
41.644501,-87.122803,,
41.978401184082,-89.5604019165039,00IL,
41.5113983154297,-87.2605972290039,00IN,
40.0256004333496,-89.1229019165039,00IS,
38.7277984619141,-94.9304962158203,00KS,
37.4094009399414,-84.6196975708008,00KY,
30.191944,-90.980833,00LA,
39.6652984619141,-89.7055969238281,00LL,
30.1362991333008,-92.4293975830078,00LS,
38.7570991516113,-75.7537994384766,00MD,
43.9494018554688,-86.4167022705078,00MI,
46.2999992370605,-95.7003021240234,00MN,
37.202800750732,-94.412399291992,00MO,
45.675,-110.52515,00MT,
39.473201751709,-75.1852035522461,00N,
36.0852012634277,-78.3713989257813,00NC,
40.5209007263184,-74.4746017456055,00NJ,
44.8118612,-73.3698057,00NK,
42.9001007080078,-77.4997024536133,00NY,
41.590476,-84.141583,,
39.7453002929687,-84.1874008178711,00OI,
36.198598,-96.217693,00OK,
44.9328994750977,-123.129997253418,00OR,
39.9488983154297,-75.7469024658203,00PA,
41.2995,-80.211111,00PN,
40.3778,-77.365303,,
44.181466,-122.086,,
34.0093994140625,-80.2671966552734,00SC,
44.809158,-96.498897,00SD,
32.8269,-97.305801,,
32.847599029541,-97.1894989013672,00TE,
35.5158996582031,-85.9535980224609,00TN,
32.6076011657715,-97.2419967651367,00TS,
